frame,score_dynamic,score_dynamic_smoothed_w5,component_rarity,component_transition_surprise,component_local_density
661,4.75,10.625,,,4.75
662,38.75,9.875,,,38.75
663,10.625,10.625,,,10.625
664,6.0,23.5,,,6.0
665,43.75,18.125,,,43.75
666,23.5,18.125,,,23.5
667,18.125,18.375,,,18.125
668,17.5,18.375,,,17.5
669,18.375,18.125,,,18.375
670,29.125,18.375,,,29.125
671,4.5,28.875,,,4.5
672,28.875,28.875,,,28.875
673,28.999999999999996,28.875,,,28.999999999999996
674,13.875000000000002,28.875,,,13.875000000000002
675,92.125,28.999999999999996,,,92.125
676,5.125,43.125,,,5.125
677,43.125,43.125,,,43.125
678,73.25,42.875,,,73.25
679,40.625,42.875,,,40.625
680,42.875,40.625,,,42.875
681,21.25,23.125,,,21.25
682,23.125,23.125,,,23.125
683,7.75,23.125,,,7.75
684,33.75,33.75,,,33.75
685,80.375,33.75,,,80.375
686,77.5,60.875,,,77.5
687,30.25,60.875,,,30.25
688,60.875,51.5,,,60.875
689,51.5,36.125,,,51.5
690,27.125,51.5,,,27.125
691,36.125,36.125,,,36.125
692,72.75,27.125,,,72.75
693,8.375,36.125,,,8.375
694,21.75,38.125,,,21.75
695,38.125,38.125,,,38.125
696,39.75,38.125,,,39.75
697,42.625,39.75,,,42.625
698,16.0,39.75,,,16.0
699,98.0,42.625,,,98.0
700,23.25,24.875,,,23.25
701,75.0,72.5,,,75.0
702,24.875,24.875,,,24.875
703,72.5,24.875,,,72.5
704,20.0,22.0,,,20.0
705,11.75,20.0,,,11.75
706,22.0,20.0,,,22.0
707,6.5,22.0,,,6.5
708,58.375,58.375,,,58.375
709,78.625,58.375,,,78.625
710,71.125,58.375,,,71.125
711,34.375,42.375,,,34.375
712,18.625,35.0,,,18.625
713,42.375,34.375,,,42.375
714,35.0,22.375,,,35.0
715,22.375,22.375,,,22.375
716,11.625,22.375,,,11.625
717,13.625000000000002,13.625000000000002,,,13.625000000000002
718,55.50000000000001,11.625,,,55.50000000000001
719,10.375,10.375,,,10.375
720,3.875,8.125,,,3.875
721,5.5,8.125,,,5.5
722,8.125,7.375,,,8.125
723,15.375,7.375,,,15.375
724,7.375,7.375,,,7.375
725,2.375,4.0,,,2.375
726,2.125,4.0,,,2.125
727,4.0,4.0,,,4.0
728,33.5,17.0,,,33.5
729,57.99999999999999,17.0,,,57.99999999999999
730,17.0,17.375,,,17.0
731,0.75,17.0,,,0.75
732,17.375,17.0,,,17.375
733,5.75,17.375,,,5.75
734,50.0,17.375,,,50.0
735,35.875,35.875,,,35.875
736,0.375,35.875,,,0.375
737,58.62500000000001,31.125000000000004,,,58.62500000000001
738,8.75,31.125000000000004,,,8.75
739,31.125000000000004,31.125000000000004,,,31.125000000000004
740,33.25,31.125000000000004,,,33.25
741,10.0,31.125000000000004,,,10.0
742,76.125,30.75,,,76.125
743,16.5,30.75,,,16.5
744,30.75,30.75,,,30.75
745,55.75,16.5,,,55.75
746,10.25,30.75,,,10.25
747,13.0,36.75,,,13.0
748,36.75,31.374999999999996,,,36.75
749,82.0,36.75,,,82.0
750,31.374999999999996,36.75,,,31.374999999999996
751,63.74999999999999,63.74999999999999,,,63.74999999999999
752,3.125,31.374999999999996,,,3.125
753,74.875,21.875,,,74.875
754,3.5000000000000004,13.5,,,3.5000000000000004
755,21.875,21.625,,,21.875
756,13.5,21.625,,,13.5
757,21.625,21.875,,,21.625
758,73.125,21.625,,,73.125
759,63.375,22.75,,,63.375
760,4.375,63.375,,,4.375
761,22.75,40.75,,,22.75
762,99.75,24.75,,,99.75
763,40.75,33.625,,,40.75
764,24.75,33.625,,,24.75
765,33.625,33.625,,,33.625
766,3.25,24.75,,,3.25
767,40.875,16.375,,,40.875
768,11.875,16.375,,,11.875
769,16.375,21.375,,,16.375
770,42.75,16.375,,,42.75
771,21.375,16.375,,,21.375
772,12.625,21.375,,,12.625
773,15.0,20.625,,,15.0
774,33.375,15.0,,,33.375
775,20.625,20.625,,,20.625
776,7.000000000000001,20.625,,,7.000000000000001
777,23.0,20.625,,,23.0
778,2.625,7.875,,,2.625
779,35.625,7.875,,,35.625
780,7.875,7.875,,,7.875
781,0.625,7.875,,,0.625
782,86.125,7.875,,,86.125
783,1.375,20.375,,,1.375
784,20.375,20.375,,,20.375
785,53.37499999999999,20.375,,,53.37499999999999
786,1.7500000000000002,21.5,,,1.7500000000000002
787,21.5,21.5,,,21.5
788,44.5,21.5,,,44.5
789,8.625,21.5,,,8.625
790,22.625,22.625,,,22.625
791,16.25,16.25,,,16.25
792,31.874999999999996,16.25,,,31.874999999999996
793,15.25,15.25,,,15.25
794,2.75,15.25,,,2.75
795,5.625,15.25,,,5.625
796,24.125,16.875,,,24.125
797,23.75,19.875,,,23.75
798,16.875,23.75,,,16.875
799,19.875,23.75,,,19.875
800,40.375,40.375,,,40.375
